item_id;item;defom;exsz;schpl;x_mm;y_mm;z_mm;pzxsc;kgxsc;x_sc_mm;y_sc_mm;z_sc_mm;scxfrd;frdxplt;x_frd_mm;y_frd_mm;z_frd_mm;kgxfrd;cdsup;scxpl;z_cub_mm;x_pal_mm;y_pal_mm;kgxplt;z_pal_mm
ad18e49bc8 S 027;ad18e49bc8;45X90 SP;0;S 027;450;900;20;2;37;450;900;40;2;13,5;450;900;92;74;B;27;517;1010;1200;999;134
ca4e420534 N 999;ca4e420534;30X30;0;N 999;300;300;10;12;24,32;300;300;120;0;inf;300;300;0;0;9;999;-134;800;1200;24295,68;134
ca4e420534 S 999;ca4e420534;30X30;0;S 999;300;300;10;12;24,32;300;300;120;2;499,5;300;300;276;48,64;F;999;611;800;1200;24295,68;134
3b5b1a83de S 040;3b5b1a83de;60X60;0;S 040;600;600;9;3;21,23;600;600;27;4;10;600;600;124,2;84,92;F;40;596;800;1200;849,2;134
9fd272f8b4 S 040;9fd272f8b4;60X60;0;S 040;600;600;9;3;21,23;600;600;27;4;10;600;600;124,2;84,92;F;40;596;800;1200;849,2;134
af850946fb S 040;af850946fb;60X60;0;S 040;600;600;9;3;21,23;600;600;27;4;10;600;600;124,2;84,92;F;40;596;800;1200;849,2;134
84c2f23b25 S 040;84c2f23b25;60X60;0;S 040;600;600;9;3;21,23;600;600;27;4;10;600;600;124,2;84,92;F;40;596;800;1200;849,2;134
b8d29a69e0 S 040;b8d29a69e0;60X60;0;S 040;600;600;9;3;21,23;600;600;27;4;10;600;600;124,2;84,92;F;40;596;800;1200;849,2;134
006ce2967f N 036;006ce2967f;45X90;0;N 036;450;900;9;3;24,6;450;900;27;0;inf;450;900;0;0;9;36;-134;800;1200;885,6;134
006ce2967f S 036;006ce2967f;45X90;0;S 036;450;900;9;3;24,6;450;900;27;4;9;450;900;124,2;98,4;B;36;446;1010;1200;885,6;134
3a4d952c8e N 036;3a4d952c8e;45X90;0;N 036;450;900;9;3;24,6;450;900;27;0;inf;450;900;0;0;9;36;-134;800;1200;885,6;134
3a4d952c8e S 036;3a4d952c8e;45X90;0;S 036;450;900;9;3;24,6;450;900;27;4;9;450;900;124,2;98,4;B;36;446;1010;1200;885,6;134
69aebe3705 N 040;69aebe3705;60X60;0;N 040;600;600;9;3;22,68;600;600;27;0;inf;600;600;0;0;9;40;-134;800;1200;907,2;134
69aebe3705 S 040;69aebe3705;60X60;0;S 040;600;600;9;3;22,68;600;600;27;3;13,33333333;600;600;93,15;68,04;F;40;608;800;1200;907,2;134
04f8de6aae N 020;04f8de6aae;120X120;1;N 020;1200;1200;9;2;58;1200;1200;18;0;inf;1200;1200;0;0;9;20;-134;800;1200;1160;134
04f8de6aae S 020;04f8de6aae;120X120;1;S 020;1200;1200;9;2;58;1200;1200;18;2;10;1200;1200;41,4;116;H;20;461;1230;1430;1160;149
cd62762094 S 040;cd62762094;30X60 SP;0;S 040;300;600;20;3;24;300;600;60;2;20;300;600;138;48;F;40;601;800;1200;960;134
0b0db41516 S 040;0b0db41516;30X60 SP;0;S 040;300;600;20;3;24;300;600;60;2;20;300;600;138;48;F;40;601;800;1200;960;134
b8e98198f8 S 040;b8e98198f8;30X60 SP;0;S 040;300;600;20;3;24;300;600;60;2;20;300;600;138;48;F;40;601;800;1200;960;134
